Feature,Feature_col,Event,Before_Mean,Before_Std,At_Mean,At_Std,After_Mean,After_Std,Volatility_Change,Mean_Change_Pct
Vibration Fan 2 - Rate of Change,vib_2_roc,STD14-15 Cobble,0.0037374615,0.032430526,-0.006799775,0.04007343,-0.0034481108,0.047469262,1.2356699705123901,-281.9356689453125
STD03 Torque - Rolling Min (30s),torq_n_03_rmin_30s,SH-02 Carry Forward,0.8258761,0.007624407,0.8325043,0.0019773603,0.838364,0.002856949,0.2593461275100708,0.8025605082511902
STD03 Torque - Rolling Min (30s),torq_n_03_rmin_30s,SH-02 Cobble,11.345044,22.318655,0.7790055,0.00032505262,0.7857199,0.006475,1.4564167031494435e-05,-93.13351440429688
STD03 Torque - Rolling Min (30s),torq_n_03_rmin_30s,SH-03 Cobble (Dec),0.0,0.0,0.0,0.0,0.0,0.0,,
STD03 Torque - Rolling Min (30s),torq_n_03_rmin_30s,SH-03 Cobble (Nov),0.0,0.0,0.0,0.0,0.0,0.0,,
STD03 Torque - Rolling Min (30s),torq_n_03_rmin_30s,SH-03 Dev Cobble,0.8891889,0.0065573105,0.88532495,0.0020751948,0.8908841,0.0061224103,0.3164704144001007,-0.4345455765724182
STD03 Torque - Rolling Min (30s),torq_n_03_rmin_30s,STD14-15 Cobble,7.9038525,17.749968,0.8289506,0.0,0.8362666,0.0056771766,0.0,-89.51207733154297
STD01 Raw Torque (Normalized),13_0_STD01_T_FBK_Torque_Norm,SH-02 Carry Forward,1.0889525,0.0055500395,1.0953827,0.004036155,1.0973022,0.0037980508,0.7272299528121948,0.590489387512207
STD01 Raw Torque (Normalized),13_0_STD01_T_FBK_Torque_Norm,SH-02 Cobble,1.0339715,0.008801569,1.034756,0.004539252,1.0457469,0.008147644,0.5157321095466614,0.07586254179477692
STD01 Raw Torque (Normalized),13_0_STD01_T_FBK_Torque_Norm,SH-03 Cobble (Dec),0.0,0.0,0.0,0.0,0.0,0.0,,
STD01 Raw Torque (Normalized),13_0_STD01_T_FBK_Torque_Norm,SH-03 Cobble (Nov),0.0,0.0,0.0,0.0,0.0,0.0,,
STD01 Raw Torque (Normalized),13_0_STD01_T_FBK_Torque_Norm,SH-03 Dev Cobble,1.1260524,0.0047085606,1.1294122,0.004969457,1.1403788,0.00653104,1.0554089546203613,0.29836928844451904
STD01 Raw Torque (Normalized),13_0_STD01_T_FBK_Torque_Norm,STD14-15 Cobble,1.0609683,0.007483172,1.0641987,0.0056886543,1.0767982,0.008869239,0.76019287109375,0.30448153614997864
Vibration Fan 2 - Rolling Std (10s),vib_2_rstd_10s,SH-02 Carry Forward,0.089088224,0.031819195,0.093729064,0.021645686,0.09263878,0.034868143,0.680271327495575,5.209262847900391
Vibration Fan 2 - Rolling Std (10s),vib_2_rstd_10s,SH-02 Cobble,0.07095232,0.020536032,0.0683293,0.023431394,0.090915,0.024084348,1.1409894227981567,-3.6968793869018555
Vibration Fan 2 - Rolling Std (10s),vib_2_rstd_10s,SH-03 Cobble (Dec),0.015605921,0.0046413247,0.012511713,0.0034277693,0.017878264,0.005899249,0.738532543182373,-19.827136993408203
Vibration Fan 2 - Rolling Std (10s),vib_2_rstd_10s,SH-03 Cobble (Nov),0.015247804,0.0031463348,0.012267267,0.0027279565,0.013428994,0.0073849615,0.8670268058776855,-19.547317504882812
Vibration Fan 2 - Rolling Std (10s),vib_2_rstd_10s,SH-03 Dev Cobble,0.044975977,0.012226898,0.040032692,0.0058785374,0.055973843,0.016590877,0.4807873070240021,-10.990944862365723
Vibration Fan 2 - Rolling Std (10s),vib_2_rstd_10s,STD14-15 Cobble,0.034932137,0.02177606,0.0318833,0.02112394,0.04880882,0.028548716,0.9700533747673035,-8.727886199951172
